Gene symbol	B cells memory	B cells naive	Dendritic cells activated	Dendritic cells resting	Eosinophils	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells activated	Mast cells resting	Monocytes	NK cells activated	NK cells resting	Neutrophils	Plasma cells	T cells CD4 memory activated	T cells CD4 memory resting	T cells CD4 naive	T cells CD8	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)
CSF1	21.81521667	22.1078749	93.53462038	112.5821168	73.59342702	687.8844582	35.28849776	23.12217296	61.84446433	28.21718786	24.56893179	24.48518696	21.72047615	22.5275051	14.62640697	235.5590589	32.27097928	21.94024148	22.99418539	24.17762134	39.12354971	159.729662
TNFRSF13B	1498.256342	502.6927279	186.0239287	167.5646975	290.7927064	158.639318	240.986393	171.9065402	187.8628997	163.0912348	188.0078881	167.0688665	227.5044918	342.7765361	1292.53498	138.9893405	120.0804247	307.6962383	181.9551888	181.9526719	372.4166229	379.5542581
RCAN3	40.66450557	46.66611859	106.6270408	30.55512091	10.99141575	54.98818208	37.60063067	28.67150516	35.07280711	6.230147517	41.68337282	25.01169532	7.23560514	5.269930927	41.29948278	193.0935915	566.9862725	219.6437293	155.029818	28.81247015	28.35364012	332.6704532
LAG3	8.732532802	36.29565926	215.1741661	20.86020976	5.070710836	6.759088639	1427.702674	97.67723625	22.32766244	12.7599446	7.92284356	23.50429099	139.8539928	8.170942175	10.14786303	999.6943311	175.1856105	6.264629561	521.3214165	1296.73277	884.9362538	656.8213603
CCL22	31.32507211	46.07125476	30950.32751	4123.086134	94.52151623	2604.46642	464.9729614	880.2022045	113.920916	24.52312784	33.117333	76.9655571	26.9167755	59.92678374	19.84751256	28.17031886	27.87853733	39.42959137	24.03529684	24.33306321	23.02227816	560.1844434
CD1D	416.3030749	243.5748238	51.31081795	90.82975345	51.54152805	49.35527967	373.0594532	39.50876033	23.92167028	69.97612949	2785.253606	17.37783232	16.24955986	136.9215217	201.5321093	6.357029724	10.79075018	30.19763591	16.92273192	48.61705515	288.6345968	52.42348265
SLAMF1	515.4872027	762.0351121	801.5218011	126.4411906	243.9828796	131.7093126	6057.915205	845.5065088	157.5576331	58.05601406	111.9089299	115.6197705	114.1243297	260.858135	1019.767442	2005.427058	1081.526073	449.8358705	496.4217166	1074.944299	720.6522405	1504.845258
UBASH3A	12.70263006	10.12600478	5.677166893	4.841232059	59.1375484	4.993003471	8.795522384	8.195551244	17.94318894	13.69796446	6.105136566	8.533286435	6.038374156	10.09959562	8.087608443	203.0783034	714.9395195	2177.794994	876.3804334	935.0097588	319.0941238	1376.318036
TBX21	543.923946	504.1990666	178.261254	245.4943449	242.2058318	315.8607585	526.5774707	86.6079297	151.2597324	141.1042313	273.2767975	3311.978393	4208.888552	542.1588248	450.3185771	1173.96483	522.1073862	162.9916872	1658.322072	445.5205989	1805.133857	334.0503226
PDCD1LG2	11.81520376	17.24705732	813.7897771	116.3739956	72.1116222	55.0450855	448.8743703	343.4394084	18.43935219	9.979746792	14.01790012	12.92033658	22.01108215	22.62515879	12.20918656	14.41666747	11.03474465	15.10593558	12.8049967	8.147551977	15.66812358	75.96003159
CXCL3	28.30659504	73.07039801	157.0218318	81.03679349	44.00159828	1496.816	271.246673	233.3303549	7936.428599	149.9605608	175.8826199	30.21807353	17.38441257	75.7691719	56.44753053	26.84183085	30.02788375	17.02062149	26.71170482	27.69750654	45.90656617	136.6242482
REPS2	27.95271373	40.36292074	43.11555986	46.40358284	735.5721017	14.49580783	9.789026033	171.2308983	19.0519557	108.2496101	153.2877211	21.71773363	16.00616409	1345.638366	23.92087663	8.288872254	18.95216894	12.08950821	13.88756297	18.57128353	19.43901612	22.28002508
CD22	1803.150148	3293.629651	36.801049	154.8175221	104.7638451	153.7017175	62.36131967	221.7347708	205.9169697	287.7290641	31.15232509	32.52035914	41.94230156	72.3215622	19.03486997	40.69767509	54.37437693	53.38200923	37.47048645	45.41225697	80.6118876	127.573896
FPR2	162.9187996	227.4506603	48.59895914	62.80252929	150.7924613	182.3163119	274.9365739	95.43864594	344.4167653	195.1670966	964.2419055	69.04044011	88.1553815	3797.403194	101.1071972	24.31747659	57.00754952	60.78015047	54.91749032	56.44753053	168.8394702	97.93080766
TEC	11.13599083	11.26237461	21.16569802	14.62208914	80.57831321	19.98621302	66.07482414	50.36671815	225.4910315	23.41596618	16.29861436	16.45891984	20.22252914	12.87726499	9.61033962	9.195676707	9.646923918	8.992612544	11.99089142	12.7431858	14.80669355	8.92091341
TXK	195.384424	309.7698509	85.15990882	82.39792906	201.2173366	64.00962037	86.84214478	154.3565359	201.212217	173.7054259	62.96991111	2015.56144	1564.533681	173.9732072	85.82317784	175.3835932	426.3148568	1384.385645	676.0594416	206.762571	319.0374935	166.3675052
CCRL2	331.0843447	327.4987971	42.18974701	30.03002814	34.98004676	17.97363923	25.58895596	29.92011687	31.69929888	27.61848758	29.59035049	122.9424087	46.43838291	45.63378677	40.64411705	155.6717837	486.3438163	69.04044011	173.0896162	151.0907582	262.8582877	101.9853805
TNFRSF11A	32.36541213	50.02783296	708.1258587	281.4799185	12.25490482	37.89907656	74.82023836	396.3913895	80.59359524	24.86947846	17.83610862	68.56018671	86.12792797	67.7636041	28.03580356	45.77175188	22.07591774	6.818438323	9.855680429	14.45611207	87.70315573	930.5271046
IFNG	168.0836515	233.2462403	92.78571972	75.83739524	157.0213934	105.0542732	96.36432219	71.1513012	70.32219401	109.1827541	108.1486375	3575.236664	247.3486217	187.1620872	137.3910104	6344.879706	142.1822906	107.3272359	249.0786281	208.3394234	269.3932002	174.2692818
C3AR1	97.68302989	131.0995558	259.2776033	879.0878468	9437.290602	799.6447121	4247.947251	2754.457112	4865.330497	4587.545998	1337.368233	473.1714371	753.7180287	746.04456	235.8730787	109.0856459	198.3433582	100.57262	218.067024	110.3968405	667.738611	521.2960334
CD1C	2899.133023	1349.225244	1002.723527	9523.260691	24.63751709	29.85115497	22.85969301	167.5032595	34.92829111	32.85124884	526.834127	30.67802465	36.32319474	258.2129965	31.29737364	33.58018677	204.5100438	77.23468675	44.14189025	40.92391452	50.88172305	16.8510481
ZAP70	12.81144157	13.7050941	26.83408716	19.14980044	185.4848873	18.46666377	25.55686935	32.52035914	38.3203582	24.08409421	38.05970681	1772.000761	4781.948859	70.04945364	13.36812571	772.7826189	2667.26621	4287.536344	3230.539852	7380.970003	1422.384713	1758.634939
CD3G	87.6081271	55.98119171	38.2153575	29.83579519	114.9902097	31.47187386	22.5839555	15.49172903	17.90169501	19.63068007	31.97464945	117.4404361	252.9163802	160.0909817	31.36207011	1149.980649	3066.253514	2859.409338	3348.560467	2416.241107	1121.515185	1298.021187
PTGIR	21.65542661	32.06615205	1333.258674	27.40247852	26.61063961	37.79124289	1832.0701	1096.655917	113.9045242	196.2521481	482.8617503	30.86641388	31.06375629	47.10622736	30.36307028	161.002021	59.60491785	233.2462403	46.51032228	24.85041048	31.97751482	1296.620335
CXCL10	395.6381026	761.3944185	11302.3948	163.7176364	332.722032	163.1981892	31273.67963	278.3434035	313.9187307	112.8085953	500.9300164	1510.914551	201.1109308	486.9671286	246.2438258	529.512254	152.9758784	120.4987696	157.22658	127.9224652	488.5453368	256.6183684
CCR3	31.14530202	135.0222303	66.10168276	83.69246929	6575.502616	79.25178432	59.88926338	39.09280883	72.43377329	33.17881936	83.4012701	81.07845472	128.2007913	1435.2148	52.48031743	53.98997768	88.58205857	12.07805481	51.21539926	20.4848163	37.49630312	260.9680321
CCR7	1939.045683	3811.326733	14223.15516	290.530233	647.9636327	328.1949289	17366.91051	123.7463123	81.24584846	66.65895255	165.2353496	482.4429323	672.4665585	376.1557339	202.9261759	2885.120974	2693.556404	8788.597127	5074.201816	1858.531026	490.8051753	6339.949771
CD69	5037.059721	8246.962733	69.45698718	39.31238934	6363.149838	31.65121441	59.02137051	28.81247015	1484.634024	440.3983738	66.10288756	5471.704926	1781.265844	436.4221698	131.1507128	1071.887678	5489.202469	4397.041606	3798.407191	6081.160743	4572.324665	539.3938343
PTGER2	20.49640288	47.37880726	826.8557439	584.1241872	501.0228289	619.1628375	170.3953887	1754.337137	892.0718245	460.4294121	1154.310555	5770.127086	2983.001501	183.6977894	21.50099156	1056.864994	4236.414392	258.841965	2260.804067	14.85589132	2957.932915	2608.201318
DPP4	16.56719599	19.45168576	138.2117037	11.79647193	18.57167619	17.52701962	175.6975199	32.80967907	25.76939706	68.77332318	19.65506451	391.9641115	43.07303297	19.5766283	15.7816761	892.3150761	1042.227242	689.9495562	686.98687	22.53108052	383.7055093	866.5973448
GPR25	29.42735453	4.292572754	4.701007424	11.76229619	18.26386402	8.494154594	27.36083709	14.41666747	15.84215873	22.81784638	14.04592183	21.43533197	11.1673751	16.9118569	141.0660169	12.75467855	138.1919025	10.77863651	28.7191378	21.82778451	10.93345478	41.74363822
IL18RAP	45.38600163	63.16533501	89.09515062	88.07756471	1797.696657	93.75421468	24.97523206	38.64095647	362.4767389	239.2744548	92.02184739	5732.166309	6172.262928	2653.493356	22.92310159	367.9599908	275.2312246	83.75974388	541.6070596	101.4843406	4488.262918	113.0686831
P2RY14	196.0477382	1638.857158	24.7275648	214.7529288	9767.658851	7.681017154	21.35853068	852.5563739	1476.439279	2202.531209	51.7107481	215.2283477	214.6448472	1604.23718	30.69853755	76.77594259	75.4038863	63.19960659	154.8611784	33.74435445	512.624542	102.9533339
GNG7	1494.305763	768.0078466	70.79123977	187.5124462	197.7715925	82.41009583	94.49057817	243.4861493	115.3507975	170.2524464	112.449475	53.08765217	60.45334031	455.4134725	2218.049204	75.96955929	104.2562884	99.42210121	133.5514698	63.64624142	51.82499254	214.2818797
