Gene symbol	B cells memory	B cells naive	Dendritic cells activated	Dendritic cells resting	Eosinophils	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells activated	Mast cells resting	Monocytes	NK cells activated	NK cells resting	Neutrophils	Plasma cells	T cells CD4 memory activated	T cells CD4 memory resting	T cells CD4 naive	T cells CD8	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)
SLAMF1	515.4872027	762.0351121	801.5218011	126.4411906	243.9828796	131.7093126	6057.915205	845.5065088	157.5576331	58.05601406	111.9089299	115.6197705	114.1243297	260.858135	1019.767442	2005.427058	1081.526073	449.8358705	496.4217166	1074.944299	720.6522405	1504.845258
TXK	195.384424	309.7698509	85.15990882	82.39792906	201.2173366	64.00962037	86.84214478	154.3565359	201.212217	173.7054259	62.96991111	2015.56144	1564.533681	173.9732072	85.82317784	175.3835932	426.3148568	1384.385645	676.0594416	206.762571	319.0374935	166.3675052
IL18RAP	45.38600163	63.16533501	89.09515062	88.07756471	1797.696657	93.75421468	24.97523206	38.64095647	362.4767389	239.2744548	92.02184739	5732.166309	6172.262928	2653.493356	22.92310159	367.9599908	275.2312246	83.75974388	541.6070596	101.4843406	4488.262918	113.0686831
SLC12A8	8.434874182	7.225818568	52.24193196	37.95714189	107.0092016	466.0589582	24.5564624	25.3393543	581.4055879	447.9225018	11.98809147	18.06584929	10.14791696	13.16312363	52.06339581	9.306658239	3.740216058	11.19206299	14.91996119	34.82375423	7.503468941	48.42252291
MEP1A	391.2004498	939.6261506	321.8834531	186.6180666	257.5044339	171.9329356	25.48235387	66.46616213	96.70274469	25.29772111	98.26125945	89.41077945	85.62849683	165.3704727	222.3862967	43.13043305	141.2290524	22.42983417	54.17625589	54.92226784	136.1749837	169.5472888
HRH1	165.4581351	206.5394742	128.2673018	202.5321442	81.41713941	217.6585736	145.2834807	2195.073255	116.6680467	119.1113422	72.1745748	42.47010982	54.07639831	227.8748322	161.4809975	284.8186666	101.1491714	26.48229454	75.97436695	78.2920509	212.4319062	108.9553664
RGS1	246.271589	180.1991847	3515.825678	62.10361148	6082.807012	147.1485549	184.9939733	63.8234625	474.484624	507.2404796	64.44174947	255.510178	147.0419785	111.3503483	742.0017818	1321.498692	1496.611591	215.6731441	646.7216655	1981.049393	110.3073506	1384.645326
FRMD4A	73.55800845	57.81750686	57.27849364	229.1834068	76.09249167	161.857003	256.1732314	1094.097795	57.91160526	43.95612501	52.74025927	43.21756185	46.14200777	21.62064394	17.18073516	48.33458991	71.89460431	24.03797283	49.31923782	211.2458646	23.15443689	38.98612196
GNG7	1494.305763	768.0078466	70.79123977	187.5124462	197.7715925	82.41009583	94.49057817	243.4861493	115.3507975	170.2524464	112.449475	53.08765217	60.45334031	455.4134725	2218.049204	75.96955929	104.2562884	99.42210121	133.5514698	63.64624142	51.82499254	214.2818797
IFNG	168.0836515	233.2462403	92.78571972	75.83739524	157.0213934	105.0542732	96.36432219	71.1513012	70.32219401	109.1827541	108.1486375	3575.236664	247.3486217	187.1620872	137.3910104	6344.879706	142.1822906	107.3272359	249.0786281	208.3394234	269.3932002	174.2692818
NLRP3	20.53269856	22.14183418	19.68892684	310.2780778	68.36800786	32.50574568	37.67910545	322.0620463	423.0729418	26.84988325	636.6292677	88.89574256	44.60257144	478.8774821	15.37842878	14.17835244	48.05321317	18.45676256	15.30576169	11.65755142	51.58523231	28.04117893
LTA	12.01527664	11.68110017	12.82463268	14.60038983	26.31845898	12.5287015	114.1041953	14.98197508	17.78813205	12.95614608	12.51621864	2880.862643	24.18839952	16.83523098	12.60267124	2867.607058	27.69750654	258.3876509	21.16573991	524.4770391	13.28187351	138.2988262
TNFRSF17	247.609295	22.5997525	17.5240948	10.59179267	20.98966863	10.59143865	9.409205288	13.52425156	6.534182401	7.227678736	10.1098504	8.910362721	12.50971798	9.35211403	7744.01596	7.947610014	13.44126834	4.347662735	13.81523144	7.855308418	10.04246187	41.18335555
BCL11B	133.7136259	166.5812991	76.4604343	95.81819269	306.9880201	78.00838097	68.0390322	51.07857308	52.15823403	53.86480939	88.02675109	512.27635	818.2107999	166.8927472	149.8210195	842.2142194	4962.937555	7177.230404	4183.738789	3186.537019	2581.692496	2748.114787
KIR2DL4	242.5966898	331.7763894	151.8311567	110.773487	187.147452	99.74347628	300.0125058	75.07815363	116.9912535	97.22199641	128.8246048	1692.521387	602.9726262	282.8093	326.5656738	62.54142777	79.00529624	125.3243228	122.2246008	71.00293957	247.0446849	119.6110333
CXCR6	137.922284	143.966553	93.76432338	61.54906754	86.73337152	60.50454252	68.56018671	56.08489855	53.14506673	58.16905397	89.88376184	139.1507517	175.2851029	166.6014244	129.4184927	1140.294509	190.1248095	92.27701669	239.577985	187.5232686	1037.795776	914.3089198
CHST15	380.4544171	375.0617962	99.79101855	317.7544695	1106.193591	1452.251166	103.4871553	1051.6856	895.2054973	1121.27006	3334.89402	21.63834323	43.29669296	4602.158626	2248.878473	34.12601784	41.68602369	56.31496953	37.3682688	41.65976896	339.1261865	82.84147995
CD247	53.69027623	23.66779296	32.48553108	43.67897681	459.1326292	23.92868112	26.9337182	81.83870096	105.4058403	128.4661867	35.27406041	15108.26954	16099.47966	59.83784952	65.55259868	2156.371127	5318.708728	7038.536622	5508.526368	5302.661793	9129.432322	9743.994501
RIPOR2	5267.741473	4719.699579	126.2864186	136.2081634	2755.053484	92.82935445	193.0268711	86.87890188	170.8249765	187.4701407	2428.861545	696.5310083	1586.716996	8329.197426	237.5875518	256.5379971	2808.159439	4454.485846	3376.093302	665.2076215	2376.662113	910.8875823
