sample_id	B cells memory	B cells naive	Dendritic cells activated	Dendritic cells resting	Eosinophils	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells activated	Mast cells resting	Monocytes	NK cells activated	NK cells resting	Neutrophils	Plasma cells	T cells CD4 memory activated	T cells CD4 memory resting	T cells CD4 naive	T cells CD8	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	P-value	Correlation	RMSE
AMC.R1	0	0.073076194383698	0.34376033717958	0	0.0233046414671292	0	0	0.0381254130566664	0	0	0.129520085723363	0	0	0	0.0715906549646646	0	0.0160493102827566	0	0.144194218636422	0.0335493872907804	0.0770858007167436	0.0497439562981961	0.66	0.074128532263303	1.07298122669034
AMC.R100	0	0.0519176389099573	0.173688324194667	0	0.245019250182397	0	0	0.074480677057193	0	0.137547798538314	0.165974820000091	0.0397667404745053	0	0	0	0	0.011780012715784	0	0.0619671647678332	0.0378575731592579	0	0	0.87	-0.0637416445655309	1.06683543081049
AMC.R101	0	0.103107301099462	0.0648525949389045	0.011911512677209	0.354786115446704	0	0	0.0132703739467823	0	0.0990753764898249	0.131405101239588	0.0092901900633553	0	0	0.0040951422648676	0	0	0	0.147116182122058	0.0405763645848475	0	0.0205137451263977	0.45	0.17955506869886	0.999870834448697
AMC.R102	0	0.0825937692304548	0.107850469256873	0.00129475426869742	0.214318162110834	0	0	0.0250737660581319	0	0.074720349097066	0.107461179137102	0.0604070984536134	0	0	0.0723827893812112	0	0.103819080848533	0	0.102115704936688	0.0102629938070359	0	0.0376998834137594	0.7	0.052909747309767	1.06020601319594
AMC.R103	0	0.0941399124297645	0.0544991237302173	0.0164665281256918	0.325406118447287	0	0	0.068454078611601	0	0.0580097849923905	0.102210623937884	0.0450841420916863	0	0	0.0326330388160426	0	0	0	0.173481518060136	0.0172017714082636	0	0.0124133593490348	0.61	0.0917050448091222	1.03390295487394
AMC.R104	0	0.0700569655977041	0.0771868072733438	0	0.120896911586176	0.0277074119234992	0.00325481404038984	0	0	0.161747937812945	0.205659352042226	0.0650881118763066	0	0	0	0	0	0	0.19108045336266	0.0647990690175125	0	0.0125221654672366	0.69	0.0641966009310576	1.05694268198802
AMC.R109	0	0.0568991794903737	0.121750536916569	0	0.152152556065502	0	0	0	0	0.166443989891235	0.141239636506036	0.0569113510672057	0	0	0	0	0.121283681698306	0	0.10385268416379	0.0225642490694398	0	0.0569021351315423	0.76	0.0148281909899034	1.08643967729891
AMC.R110	0	0.149955672292743	0.124676056580719	0.0116545956884248	0.15390976770102	0	0	0.0389650058077503	0	0.0207760518442817	0.058258266936883	0.0485244988801307	0	0	0.105245053436333	0	0	0	0.149290186799452	0.105181117500841	0	0.0335637265314207	0.28	0.281335840961821	0.96155196900525
AMC.R111	0	0.0509331442704347	0.0973251298308557	0	0.10787177348879	0	0	0.0325696935450383	0	0.321755555373739	0.0955387600289797	0.0655673879305498	0	0	0	0	0	0	0.176651819880282	0	0	0.051786735651331	0.73	0.044340029934238	1.04428447516471
AMC.R112	0	0.0881993276003988	0.0815362102258574	0.00853400637778075	0.218670311982722	0	0	0.0262115782227999	0	0.0745469515040493	0.211527912285826	0.0321655400841061	0	0	0.0244064679275621	0	0	0	0.200824962955324	0.0251938733746173	0	0.00818285745895615	0.32	0.254385091632379	0.975686233883408
AMC.R113	0	0.10577684805559	0.0984070120314728	0.013035897976649	0.259096846640881	0	0	0.0495280198316565	0	0.0716914066803744	0.13810634661305	0.0144573002538773	0	0	0.0583713108452614	0	0.019814733099547	0	0.132629207502557	0	0	0.0390850704690838	0.58	0.109050199536444	1.02293813793033
