Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
10001625-TT-R	0.0405474491514941	0	0.07509271544724942	0.06624478277398418	0	0.12927846116447284	0	0.029382184464209163	0.07073652695476577	0	0.016222331651717083	0	0	0.09525517840863751	0.06068709822545047	0.33690444948122	0.057844886847687085	0	0.00474811497233273	0.006754772289225665	0.010301048167554004	0	0.04	0.16742094227732604	1.0177784886113197
10001691-TT-R	0.08284913450077319	0	0.17074356104856772	0.09010551455446393	0	0.10662244798322901	0	0.029322981614005296	0.03923908346324044	0	0.028247836162602978	0.005769142547682594	0	0.1458895578574831	0.029292906922853384	0.24750022406916697	0	0	0	0.0244176092759314	0	0	0	0.3289465787183814	0.9528224647673448
11000047-TT-R	0	0.04352168519923425	0.03706996878506666	0.16989762241726997	0	0.1269270423236926	0	0.1159199424183355	0.007256082485291793	0	0	0.045537917657592436	0.0011393324998212953	0.07202975964784192	0.05434018331811112	0.2206220411714287	0	0	0	0.09698550351682593	0	0.008752918559487864	0.07	0.12869867789884845	1.0380048602466896
11000095-TT-R	0.057646008439126525	0	0.01531690011276248	0.15962207891836688	0	0.11860169944967293	0.02918241610460009	0.055215122099876744	0.0786285924672575	0	0	0.01691961822303663	0	0.12953186092438865	0.11013784555016196	0.1836109790258779	0.015708775356073994	0	0	0.01985113533819427	0.0020475530708101725	0.007979414919793287	0.07	0.11941401711066318	1.04332546972358
11000142-TT-R	0.06027262146819427	0.055086571204361306	0.01804533199225679	0.16347671086829393	0	0.16039351135533197	0.005300233551894573	0.10003042154834556	0.04410966312452548	0	0	0.09472592246572624	0.0280652729278724	0.06893527208147637	0.06227034916572449	0.09590689485456282	0.023724767283793472	0	0	0.019656456107640278	0	0	0.05	0.164290414199682	1.0313151719150562
11000204-TT-R	0.022355522369518845	0.0349130041942669	0.06757130767934344	0.2316750788929146	0	0.22299290938526914	0	0.032582461016080755	0	0	0	0.023153330769295044	0.0036687359766678735	0	0.052032455611625734	0.14875427123189952	0.06492377683675837	0	0	0.09537714603635981	0	0	0.03	0.2004018026458516	1.0097721273686624
11000226-TT-R	0.020445220496008845	0.02426022154558864	0.11818851948268033	0.14728357280725174	0	0.12367437739249072	0.10049692143186617	0	0.02891773422421929	0	0.058218049065181056	0.03156559222294656	0.033426367911387464	0.13238803289327253	0.02479062959606643	0.011931660793703083	0.01958841989102089	0	0	0.12482468024631622	0	0	0.03	0.23111925323861132	0.9953026792486952
11000288-TT-R	0.042478139396866316	0.034512957254068166	0	0.1423708973352632	0	0.1619195028825268	0.001	0.054218385754039734	0.01624780979066092	0	0	0.013975663157912857	0.03468776141243825	0.0644647906668418	0.022969136943311628	0.34226850700000155	0	0.003115321179134111	0	0.06555110284275237	0.0003	0	0.07	0.11349605641350968	1.042224833188257
11000350-TT-R	0.040659696932834825	0	0.0055100015427664035	0.25791348291224675	0	0	0.1582272374911296	0.0676684352691901	0	0	0.00754649075370089	0.07126743700266286	0.020227717232504366	0.008057703129888658	0.09524054468048647	0.17864353469054875	0.02297102517539386	0	0	0.06606669318664647	0	0	0.06	0.14666143893284464	1.0354554100631614
11000359-TT-R	0.004013826946435947	0	0.06565002087253921	0.05850032902915924	0	0.1386826570596432	0	0.07055272662238705	0.013580736982725794	0	0	0.037266557923786	0	0.14013193131677584	0.20240293909983806	0.15108264486293133	0.0032077118612489595	0	0.011644481627905368	0.07142984793584346	0	0.03185358785878054	0.07	0.10639841165208166	1.0621620567310657
