Input Sample	B cells memory	B cells naive	Dendritic cells activated	Dendritic cells resting	Eosinophils	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells activated	Mast cells resting	Monocytes	NK cells activated	NK cells resting	Neutrophils	Plasma cells	T cells CD4 memory activated	T cells CD4 memory resting	T cells CD4 naive	T cells CD8	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	P-value	Pearson Correlation	RMSE
10001625-TT-R	0	0.07372359005815884	0.05625949834973201	0.013811278574986114	0.2966564587637642	0	0	0.03863478854955297	0	0.1772668221815858	0.18062129546486097	0.023743347712535612	0	0	0.005334000234976086	0	0	0	0.10310600653473648	0.023661092480043475	0	0.007181821095067445	0.68	0.05410461039029973	1.0335515851418535
10001691-TT-R	0	0.07621828148508605	0.07192714238902333	0.008869884973523116	0.40490290620811825	0	0	0.019295640390459046	0	0.1781293760366991	0.12376924600206701	0	0	0	0.004901793367584534	0	0	0.0017649177376486914	0.06505639061643563	0.04516442079335535	0	0	0.54	0.12673895522468967	1.0111223337462414
11000047-TT-R	0	0.05753080607691197	0.07029735864701812	0.0014736766542968226	0.26999103827703597	0	0	0.12255097650697344	0	0.07664222071737752	0.1474568815144082	0.013926388266770616	0	0	0	0.0005	0	0	0.20947735270590986	0	0	0.030138946226536373	0.48	0.16814978785973103	1.0085416849297313
11000095-TT-R	0	0.09822826110858636	0.08141926746701302	0.00796487257186213	0.3716017157920937	0	0	0.04345865932818492	0.005260822051937285	0.025986323200206697	0.14279325606803636	0.022345238392992586	0	0	0.005818416051125045	0	0	0	0.153230435648765	0	0	0.04189273231919682	0.29	0.30197809268496745	0.9507937881547346
11000142-TT-R	0	0.1199190462471723	0.06754346117218107	0.027992982094091172	0.3702068901420712	0	0	0.03546886382710504	0	0.058569644640537696	0.09361618227482676	0.027983004067095637	0	0	0.04371458050784743	0	0	0	0.13001802249245203	0.0019152160093976805	0	0.023052106525221935	0.58	0.10659009199100632	1.022596871023134
11000204-TT-R	0	0.10792744822305239	0.07032608296790775	0.030668605167876926	0.34495003703876453	0	0	0.011167911431675753	0	0.09605125285300427	0.05691523732855299	0.018163187522620992	0.038657198398417573	0	0.032977072022492324	0	0.01142169477013647	0	0.14121957245453765	0.03428831025916732	0	0.005266389561792968	0.47	0.16994814351308637	1.0046233140247964
11000226-TT-R	0.005612682444179745	0	0.2408371933505195	0	0.1615062530762274	0	0.003204853491296957	0.003606410868105962	0	0.08875431186153233	0.19178234051432802	0.060571825358892134	0	0	0	0	0	0	0.11051429722457315	0.10110348057531811	0.011175274936800733	0.021331076298225903	0.75	0.0016188817501395683	1.0693044606486999
11000288-TT-R	0	0.07721409737330279	0.0680117322545802	0.004075434107554641	0.493007882874118	0	0	0.011927714857245988	0	0.01411390671436204	0.19839533686401534	0	0.0019665964380495685	0	0	0	0.009386606269581828	0	0.09307096111832515	0.0036265248221434105	0	0.025203206306721106	0.37	0.24659141138801605	0.9763325051803163
11000350-TT-R	0	0.07425809548300048	0.05098067113520314	0.007079565323431026	0.22642647260142834	0	0	0.07703887946929014	0	0.09726884613384623	0.08752133719574556	0.07106686451766049	0	0	0	0.008753594013498445	0	0	0.24230908134111095	0.03268402734952818	0	0.024612565436257006	0.23	0.33231900922870244	0.9440174370084687
11000359-TT-R	0	0.05283534632257764	0.1323070755855889	0	0.34305760958214354	0	0	0.015703085638671364	0	0.1251207220612345	0.14140996468964043	0.012965721154515235	0.002240708614325997	0	0	0	0	0	0.11111752970060584	0.04857777326653806	0	0.014664463384158407	0.49	0.16348628193770526	1.0006247949873464
11000365-TT-R	0	0.052208725868746114	0.014897735983991781	0	0.3377984341311454	0	0	0.0034621297088493156	0	0.1351418307055094	0.2582647915962581	0.004501215889926909	0.04066842378687683	0	0.008507511195717946	0	0.006738166546344648	0	0.11525077550494871	0.006896687088687692	0	0.01566357199299712	0.53	0.1344571703984249	1.018236886836838
11000372-TT-R	0	0.09692833307130709	0.27125149730131454	0	0.03848802066033535	0.006656616881284415	0.03648674746304709	0	0	0.06366452055124353	0.105494658871498	0.057430843519315544	0.048670869466042065	0.007716676541385978	0	0	0	0	0.13452111882884826	0.12735242513799958	0	0.005337671706378547	0.53	0.13569827688876343	1.0377792722981534
11000374-TT-R	0	0.09974320023146692	0.06231746398383675	0.005672648614086441	0.43942527259995473	0	0	0.0026864493614146144	0	0.013630102337081597	0.20208759310852648	0	0.018015876403366764	0	0.007713463719986358	0	0	0	0.11848988345151709	0.024820615550938327	0	0.005397430637823921	0.66	0.06248864849676645	1.052524949393517
11000381-TT-R	0	0	0.31465211348615	0	0.27692446782198066	0	0	0	0.02737747592901774	0	0.19588291074752603	0.0022949717253806243	0	0	0	0	0.0024051097233442945	0	0.06645169923054103	0.08370351034664307	0	0.0303077409894166	0.33	0.27138607982138396	0.9653699769657463
11000385-TT-R	0	0.07598710329298555	0.07220442161710243	0.016091428370467693	0.36093792512423745	0	0	0.017850675289189807	0.00838486776873864	0.07005385822483869	0.15615026428749904	0.0020166716710894633	0.018732413425088863	0	0	0.0043158287003529664	0	0	0.10374164109055142	0.09353290113785802	0	0	0.41	0.2315707539863647	0.9772517004133185
11000403-TT-R	0	0.05527051477948735	0.04688067187940415	0.006892408883806087	0.292065786773248	0	0	0	0	0.1855717151561214	0.19264771493667365	0	0.05381042682524288	0	0.016146356725647775	0	0	0	0.09228355993515443	0.058430844105214284	0	0	0.68	0.0480372406937025	1.0406801124660394
11000461-TT-R	0	0.048123747269060574	0.07454412732955952	0.012523427869073452	0.46397793063480613	0	0	0	0	0.007344634609853368	0.25812256826659946	0.004365190926557184	0.01103879589678403	0	0	0	0.003258887785753832	0	0.09908716614153927	0.006815581009120538	0	0.010797942261292728	0.54	0.12927117062612978	1.0236082858165443
11000498-TT-R	0	0.10003669326481175	0.08073389115037159	0.018801647207697808	0.4239252384602923	0	0	0	0.009748224426880794	0	0.19351976238897622	0	0.02169480076000415	0	0	0.002116499243135853	0.006173500097594418	0	0.09484356896552425	0.036887950412610906	0	0.011518223622099958	0.48	0.1657999811964971	1.00851593595778
11000511-TT-R	0	0.04254498298735923	0.12847520582572244	0.02127410549941859	0.3844956220795915	0	0	0	0.017012531377626913	0.0030162318441274002	0.1327738580420026	0.030461969308986727	0	0	0.05022982618500075	0	0.0006	0	0.17472757497830463	0.014363348347546196	0	0	0.41	0.23357337137498538	0.9810828214054509
11000515-TT-R	0	0.0402977551791895	0.11192547872333619	0	0.22241667372809415	0	0	0.060880042841929397	0	0.2820359886206768	0.14429818945300005	0.03242994264629996	0	0	0	0	0.0011896506232967148	0	0.07710452046406617	0	0	0.027421757720111066	0.69	0.03841842505007104	1.0283601657374062
11000552-TT-R	0	0.016441528976999437	0.06823772658833935	0	0.5015119293013477	0	0	0	0	0.008301231376986214	0.2582991688783386	0.0006	0.021458893761196647	0	0	0.012809378274064339	0	0	0.11235261310313807	0	0	0	0.43	0.19486290949654198	0.9996131565337313
11000557-TT-R	0	0.06476325902038012	0.0945020657189576	0.018895805558740496	0.5014359390637106	0	0	0	0	0.0001	0.17782945707863654	0	0.017718637017888693	0	0	0.00328128401761308	0.00338687952988398	0	0.10419514941952512	0.00759583900647801	0	0.006328432197734566	0.5	0.15529654059506223	1.0132285396836411
11000562-TT-R	0	0.09957471089716165	0.1077448803467715	0	0.3750696385153362	0	0	0.02778365472904403	0.03467752064469562	0.02916063222849102	0.17864094442787376	0.01796953248629328	0	0	0	0.0010526623538774042	0.0268249204118333	0	0.07376042713853224	0	0	0.027740475820090035	0.1	0.5268285992854046	0.8571354222373593
11000573-TT-R	0	0.07567665286196391	0.11032348072236135	0.025425743627256314	0.3402261324771557	0	0	0.044333349574289825	0	0.06264907017815849	0.15112267191924272	0.011992151979846698	0	0	0	0	0	0	0.10953078464530164	0.06871996201442335	0	0	0.43	0.19966501184120072	0.9881129047152751
